observation_id,Benchmark,doi,Dataset,DatasetNumber,DatasetType,DatasetOrigin,run,ToolReported,Tool,tool_family,tool_version,TP,FP,TP_plus_FP,TruthTotal,Recall,Precision,F1,FN_reported,FN_recalculated,precision_recalculated,recall_recalculated,f1_recalculated,execution_time_h,memory_usage,time_ranking_in_set,Read_length,number_of_reads,has_f1,has_precision_recall,Is_Edgren,Benchmark_purpose,new_tool,FN,Is_Edgren_Binary,Benchmark_label
OBS0274,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,7.7,real,Real,run 3,Arriba,Arriba,Arriba,,45.045,110.28258620689655,155.32758620689657,99.0,0.455,0.29,0.354228187919463,,53.955,0.29,0.455,0.35422818791946303,,,,50.0,21500000.0,True,True,True,independent_comparison,no,53.955,yes,B7 / Dataset7.7
OBS0275,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,7.7,real,Real,,FuSeq,FuSeq,FuSeq,,35.046,50.43204878048781,85.47804878048781,99.0,0.354,0.41,0.3799476439790575,,63.954,0.41,0.354,0.37994764397905756,,,,50.0,21500000.0,True,True,True,independent_comparison,no,63.954,yes,B7 / Dataset7.7
OBS0276,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,7.7,real,Real,,InFusion,InFusion,InFusion,,25.047,37.5705,62.6175,99.0,0.253,0.4,0.3099540581929556,,73.953,0.4000000000000001,0.253,0.3099540581929557,,,,50.0,21500000.0,True,True,True,independent_comparison,no,73.953,yes,B7 / Dataset7.7
OBS0278,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,7.7,real,Real,,STAR-Fusion,STAR-Fusion,STAR-Fusion,,40.986,33.533999999999985,74.51999999999998,99.0,0.414,0.55,0.4724066390041494,,58.014,0.55,0.414,0.4724066390041494,,,,50.0,21500000.0,True,True,True,independent_comparison,no,58.014,yes,B7 / Dataset7.7
OBS0280,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,7.7,real,Real,,EricScript,EricScript,EricScript,,22.968,97.91621052631578,120.88421052631578,99.0,0.2319999999999999,0.19,0.208909952606635,,76.032,0.19,0.232,0.20890995260663506,,,,50.0,21500000.0,True,True,True,independent_comparison,no,76.032,yes,B7 / Dataset7.7
OBS0281,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,7.7,real,Real,,FusionCatcher,FusionCatcher,FusionCatcher,,27.027,17.27955737704918,44.30655737704918,99.0,0.273,0.61,0.3771913929784825,,71.973,0.61,0.273,0.3771913929784825,,,,50.0,21500000.0,True,True,True,independent_comparison,no,71.973,yes,B7 / Dataset7.7
OBS0284,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,7.7,real,Real,,JAFFA,JAFFA,JAFFA,,21.978,62.55276923076923,84.53076923076924,99.0,0.222,0.26,0.2395020746887967,,77.02199999999999,0.26,0.222,0.2395020746887967,,,,50.0,21500000.0,True,True,True,independent_comparison,no,77.02199999999999,yes,B7 / Dataset7.7
OBS0285,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,7.7,real,Real,,ChimPipe,ChimPipe,ChimPipe,,28.017000000000003,31.593638297872342,59.61063829787235,99.0,0.283,0.47,0.3532802124833998,,70.983,0.47,0.28300000000000003,0.3532802124833998,,,,50.0,21500000.0,True,True,True,independent_comparison,no,70.983,yes,B7 / Dataset7.7
OBS0286,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,7.7,real,Real,,SOAPfuse,SOAPfuse,SOAPfuse,,36.036,84.084,120.12,99.0,0.364,0.3,0.3289156626506024,,62.964,0.3,0.364,0.3289156626506024,,,,50.0,21500000.0,True,True,True,independent_comparison,no,62.964,yes,B7 / Dataset7.7
OBS0287,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,7.7,real,Real,,TopHat-Fusion,TopHat-Fusion,TopHat-Fusion,,15.048,24.552,39.6,99.0,0.152,0.38,0.2171428571428571,,83.952,0.38,0.152,0.21714285714285714,,,,50.0,21500000.0,True,True,True,independent_comparison,no,83.952,yes,B7 / Dataset7.7
OBS0288,7,https://doi.org/10.1080/15476286.2021.1940047,Dataset7.7,7.7,real,Real,,INTEGRATE,INTEGRATE,INTEGRATE,,26.037000000000003,24.03415384615385,50.07115384615385,99.0,0.263,0.52,0.349323116219668,,72.963,0.52,0.263,0.349323116219668,,,,50.0,21500000.0,True,True,True,independent_comparison,no,72.963,yes,B7 / Dataset7.7
OBS0319,8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.3,8.3,real,Real,,Arriba,Arriba,Arriba,,42.0,148.0,190.0,53.0,0.792,0.221,0.346,,11.0,0.22105263157894736,0.7924528301886793,0.345679012345679,,,,,,True,True,True,new_tool,"yes, MetaFusion",11.0,yes,B8 / Dataset8.3
OBS0320,8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.3,8.3,real,Real,,STAR-Fusion,STAR-Fusion,STAR-Fusion,,41.0,31.0,72.0,53.0,0.774,0.569,0.6559999999999999,,12.0,0.5694444444444444,0.7735849056603774,0.656,,,,,,True,True,True,new_tool,"yes, MetaFusion",12.0,yes,B8 / Dataset8.3
OBS0322,8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.3,8.3,real,Real,,deFuse,deFuse,deFuse,,34.0,123.0,157.0,53.0,0.642,0.217,0.324,,19.0,0.21656050955414013,0.6415094339622641,0.32380952380952377,,,,,,True,True,True,new_tool,"yes, MetaFusion",19.0,yes,B8 / Dataset8.3
OBS0323,8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.3,8.3,real,Real,,EricScript,EricScript,EricScript,,29.0,118.0,147.0,53.0,0.547,0.1969999999999999,0.29,,24.0,0.19727891156462585,0.5471698113207547,0.29,,,,,,True,True,True,new_tool,"yes, MetaFusion",24.0,yes,B8 / Dataset8.3
OBS0324,8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.3,8.3,real,Real,,INTEGRATE,INTEGRATE,INTEGRATE,,37.0,39.0,76.0,53.0,0.698,0.487,0.574,,16.0,0.4868421052631579,0.6981132075471698,0.5736434108527132,,,,,,True,True,True,new_tool,"yes, MetaFusion",16.0,yes,B8 / Dataset8.3
OBS0325,8,https://doi.org/10.1093/bioinformatics/btab249,Dataset8.3,8.3,real,Real,,FusionMap,FusionMap,FusionMap,,30.0,74.0,104.0,53.0,0.5660000000000001,0.288,0.382,,23.0,0.28846153846153844,0.5660377358490566,0.38216560509554137,,,,,,True,True,True,new_tool,"yes, MetaFusion",23.0,yes,B8 / Dataset8.3
OBS0364,10,https://doi.org/10.1186/s13073-015-0167-x,Dataset10.2,10.2,real,Real,,SOAPfuse,SOAPfuse,SOAPfuse,V1.26,41.0,19.0,60.0,99.0,0.4141414141414141,0.6833333333333333,0.5157232704402516,,58.0,0.6833333333333333,0.41414141414141414,0.5157232704402516,,,,,,True,True,True,new_tool,"yes, JAFFA",58.0,yes,B10 / Dataset10.2
OBS0365,10,https://doi.org/10.1186/s13073-015-0167-x,Dataset10.2,10.2,real,Real,,deFuse,deFuse,deFuse,V0.6.2,29.0,45.0,74.0,99.0,0.2929292929292929,0.3918918918918919,0.3352601156069364,,70.0,0.3918918918918919,0.29292929292929293,0.3352601156069364,,,,,,True,True,True,new_tool,"yes, JAFFA",70.0,yes,B10 / Dataset10.2
OBS0366,10,https://doi.org/10.1186/s13073-015-0167-x,Dataset10.2,10.2,real,Real,,TopHat-Fusion,TopHat-Fusion,TopHat-Fusion,2.0.13,35.0,221.0,256.0,99.0,0.3535353535353535,0.13671875,0.1971830985915492,,64.0,0.13671875,0.35353535353535354,0.19718309859154928,,,,,,True,True,True,new_tool,"yes, JAFFA",64.0,yes,B10 / Dataset10.2
OBS0367,10,https://doi.org/10.1186/s13073-015-0167-x,Dataset10.2,10.2,real,Real,,FusionCatcher,FusionCatcher,FusionCatcher,0.99.3D,27.0,4.0,31.0,99.0,0.2727272727272727,0.8709677419354839,0.4153846153846154,,72.0,0.8709677419354839,0.2727272727272727,0.4153846153846154,,,,,,True,True,True,new_tool,"yes, JAFFA",72.0,yes,B10 / Dataset10.2
