observation_id,Benchmark,doi,Dataset,DatasetNumber,DatasetType,DatasetOrigin,run,ToolReported,Tool,tool_family,tool_version,TP,FP,TP_plus_FP,TruthTotal,Recall,Precision,F1,FN_reported,FN_recalculated,precision_recalculated,recall_recalculated,f1_recalculated,execution_time_h,memory_usage,time_ranking_in_set,Read_length,number_of_reads,has_f1,has_precision_recall,Is_Edgren,source_file,source_sheet,Benchmark_purpose,new_tool,FN,Is_Edgren_Binary
OBS0025,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,run4,STAR-SEQR,STAR-SEQR,STAR-SEQR,,2339.0,10.0,,2500.0,0.94,1.0,0.9690721649484536,161.0,161.0,0.9957428693060877,0.9356,0.9647349969065786,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",161.0,no
OBS0026,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,Arriba,Arriba,Arriba,,2335.0,53.0,,2500.0,0.93,0.98,0.9543455497382198,,165.0,0.9778056951423786,0.934,0.9554009819967267,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",165.0,no
OBS0027,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,STAR-Fusion,STAR-Fusion,STAR-Fusion,,2293.0,45.0,,2500.0,0.92,0.98,0.9490526315789476,,207.0,0.9807527801539777,0.9172,0.947912360479537,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",207.0,no
OBS0028,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,pizzly,Pizzly,Pizzly,,2266.0,129.0,,2500.0,0.91,0.95,0.9295698924731184,,234.0,0.9461377870563674,0.9064,0.9258426966292134,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",234.0,no
OBS0029,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,TopHat-Fusion,TopHat-Fusion,TopHat-Fusion,,2116.0,30.0,,2500.0,0.85,0.99,0.9146739130434784,,384.0,0.9860205032618826,0.8464,0.9108910891089108,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",384.0,no
OBS0030,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,nFuse,nFuse,nFuse,,2170.0,94.0,,2500.0,0.87,0.96,0.9127868852459016,,330.0,0.9584805653710248,0.868,0.9109991603694374,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",330.0,no
OBS0031,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,JAFFA-Direct,JAFFA-Direct,JAFFA,,2146.0,56.0,,2500.0,0.86,0.97,0.9116939890710382,,354.0,0.9745685740236149,0.8584,0.9128030625265844,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",354.0,no
OBS0032,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,InFusion,InFusion,InFusion,,2068.0,17.0,,2500.0,0.83,0.99,0.9029670329670332,,432.0,0.9918465227817745,0.8272,0.9020719738276991,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",432.0,no
OBS0033,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,FusionCatcher,FusionCatcher,FusionCatcher,,2075.0,38.0,,2500.0,0.83,0.98,0.8987845303867402,,425.0,0.9820160908660672,0.83,0.8996314762627358,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",425.0,no
OBS0034,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.2,1.2,simulated,Simulated,,ARRIBA_hc,Arriba-hc,Arriba,,2034.0,15.0,,2500.0,0.81,0.99,0.891,,466.0,0.9926793557833089,0.8136,0.8942624752692899,,,,100,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",466.0,no
