tool,metric,k,pooled,ci_lb,ci_ub,I2,Q,Q_p,tau2
FusionCatcher,f1,12,0.5861010768319829,0.46223266607542995,0.7099694875885358,99.20921825898417,1391.0285770975695,1.0382879984770065e-291,0.04669749271046315
FusionMap,precision,13,0.4467459792943301,0.2133354789528448,0.6801564796358154,99.87823006370921,9854.64915686873,0.0,0.1807580731433546
FusionMap,sensitivity,12,0.5691672311656255,0.4674944674963758,0.6708399948348752,97.50587193551519,441.0358937311498,1.1636599787727803e-87,0.02716627805355737
FusionMap,f1,12,0.4827278281303217,0.3559430065367243,0.6095126497239192,99.24007576389762,1447.5127226391078,6.7393802004593815e-304,0.04755814940772816
InFusion,precision,12,0.6286066887106512,0.5125174215600302,0.7446959558612721,99.67609856023216,3396.094814485676,0.0,0.040169971784623164
InFusion,sensitivity,14,0.5966893502347135,0.47596531082649773,0.7174133896429292,98.61509874253301,938.695082404448,2.535487935217659e-192,0.05014148953522833
InFusion,f1,12,0.5581320895463593,0.4079477675745151,0.7083164115182035,99.50922036593886,2241.331798749713,0.0,0.06942701704697499
JAFFA,precision,13,0.3263331817198402,0.25195941163621444,0.400706951803466,98.80382678156701,1003.1991867967246,3.846016486888382e-207,0.015593409496748166
JAFFA,sensitivity,15,0.5527324924479424,0.3782047326109141,0.7272602522849707,98.53657704372026,956.6612263340601,3.091442630773714e-195,0.11516321583044786
JAFFA,f1,13,0.3500257753619546,0.2591325072163568,0.44091904350755246,99.16228338018418,1432.4653129883454,1.390711423628855e-299,0.02574005495192753
JAFFA-Hybrid,precision,3,0.7139097020184235,0.30069337774847665,1.1271260262883704,99.96016722351044,5020.9906922367245,0.0,0.13327675903736425
JAFFA-Hybrid,sensitivity,4,0.7233220056802306,0.6466627101338062,0.7999813012266551,93.53046587138762,46.37119057355449,4.728985534876977e-10,0.005436591366127213
JAFFA-Hybrid,f1,4,0.7232702082103991,0.4282132311190963,1.018327185301702,99.84500866619554,1935.5920917390886,0.0,0.0903333372192834
MapSplice,precision,10,0.8513132515273265,0.8148603943448611,0.8877661087097919,98.82487427952348,765.875501078341,4.693853761833486e-159,0.0024744906750075006
MapSplice,sensitivity,11,0.5613271619898268,0.42090246386998975,0.7017518601096638,98.88811056181447,899.3699963837045,8.701231512137407e-187,0.054718328254195044
MapSplice,f1,10,0.6065734044023751,0.47743570887266173,0.7357110999320884,99.20955800899974,1138.6034778606459,2.1683245118091992e-239,0.042269036344668644
SOAPfuse,precision,18,0.6108023350509753,0.4928384003741524,0.7287662697277981,99.77439962564702,7535.448488840395,0.0,0.0637926178893148
SOAPfuse,sensitivity,20,0.6753670150081835,0.6125643655560244,0.7381696644603426,94.93783601882652,375.333554398124,5.815008338988743e-68,0.018046743594400755
SOAPfuse,f1,18,0.5642863558137173,0.43780070198381027,0.6907720096436244,99.3813636802624,2747.9796218900433,0.0,0.07380135288038078
STAR-Fusion,precision,18,0.7271921076003002,0.6846382820161234,0.7697459331844769,98.31580669864783,1009.3853233088743,8.84625579177108e-204,0.006667366561568487
STAR-Fusion,sensitivity,20,0.6930215624844224,0.6307247924172508,0.755318332551594,98.40826741023967,1193.6678385695946,2.1022431497736007e-241,0.01753123644207006
STAR-Fusion,f1,18,0.6775654302274399,0.6233016440169142,0.7318292164379655,98.85817815262362,1488.8487235606704,1.248703760689362e-306,0.012364813467422622
TopHat-Fusion,precision,18,0.3975845575828713,0.23144048450659685,0.5637286306591458,99.84486506227522,10958.202097685851,0.0,0.1259999682594594
TopHat-Fusion,sensitivity,19,0.5241178425832255,0.3619909992875916,0.6862446858788593,99.42168524772187,3112.4919309240213,0.0,0.12668929684651575
TopHat-Fusion,f1,18,0.4143862882255042,0.23722856018505895,0.5915440162659495,99.74529434881524,6674.370953657559,0.0,0.14561578471867787
deFuse,precision,11,0.5060349049282233,0.31545702826127275,0.6966127815951739,99.91556358478508,11843.231352900317,0.0,0.10229855353620403
deFuse,sensitivity,14,0.7193613936535761,0.6519900586338191,0.7867327286733331,97.98729527381185,645.8970275595559,1.240773779599734e-129,0.013858554761988077
deFuse,f1,12,0.5496020191519018,0.3936088299628785,0.705595208340925,99.8414333825607,6937.147413269492,0.0,0.07467688436763673
nFuse,precision,3,0.6897077826684951,0.20859297082947587,1.1708225945075144,99.97154770009776,7029.3087267878645,0.0,0.18070315128200037
nFuse,sensitivity,5,0.562614868150934,0.3674165211652082,0.7578132151366598,99.23356587863226,521.8974323405396,1.2292176337238884e-111,0.048312021717207505
nFuse,f1,3,0.6748935648046345,0.24419901719798448,1.1055881124112845,99.94899038889722,3920.8297353420476,0.0,0.14477264769349132
